车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
星愿,北京,302,小型车,6.88-9.78,燃油车,6
奥迪Q5L,南京,302,SUV,34.98-48.88,燃油车,13
秦PLUS,资阳,11,紧凑型车,7.98-17.98,新能源,0
星愿,唐山,301,小型车,6.88-9.78,燃油车,6
海狮05 DM-i,自贡,11,SUV,10.28-14.28,新能源,9
阿维塔07,自贡,11,SUV,21.99-28.99,新能源,9
星愿,阜阳,301,小型车,6.88-9.78,燃油车,6
RAV4荣放,乌鲁木齐,301,SUV,16.98-26.38,燃油车,13
宝马5系,南京,301,中大型车,43.99-52.59,燃油车,12
途观L,西安,300,SUV,18.68-26.68,燃油车,13
哈弗H6,乌鲁木齐,300,SUV,9.89-14.69,燃油车,13
小鹏P7+,淄博,11,中大型车,18.68-20.88,新能源,11
奔驰C级,南京,300,中型车,33.48-38.06,燃油车,6
极石01,宁波,299,SUV,29.99-35.99,燃油车,13
速腾,苏州,298,紧凑型车,12.79-17.29,燃油车,10
阿维塔07,淄博,11,SUV,21.99-28.99,新能源,9
凯美瑞,南宁,298,中型车,17.18-25.98,燃油车,13
本田CR-V,济南,295,SUV,18.59-26.39,燃油车,2
海狮07 EV,淄博,11,SUV,18.98-23.98,新能源,9
问界M7,淄博,11,SUV,24.98-32.98,新能源,9
RAV4荣放,长春,294,SUV,16.98-26.38,燃油车,13
汉,株洲,11,中大型车,16.58-25.98,新能源,11
卡罗拉锐放,佛山,292,SUV,12.98-18.48,燃油车,13
eπ008,武汉,292,SUV,17.86-20.36,燃油车,13
宝马5系,深圳,291,中大型车,43.99-52.59,燃油车,12
五菱宏光新能源,驻马店,11,MPV,6.88-7.38,新能源,1
奔驰E级,郑州,290,中大型车,44.72-59.98,燃油车,12
海豹06GT,驻马店,11,中型车,13.68-18.68,新能源,7
坦克400新能源,驻马店,11,SUV,27.98-28.98,新能源,9
腾势D9,驻马店,11,MPV,33.98-66.00,新能源,1
朗逸,上海,290,紧凑型车,8.00-15.19,燃油车,6
唐新能源,驻马店,11,SUV,17.98-26.98,新能源,9
凯美瑞,上海,290,中型车,17.18-25.98,燃油车,6
星愿,许昌,289,小型车,6.88-9.78,燃油车,6
海豹05 DM-i,珠海,11,紧凑型车,7.98-10.38,新能源,0
凯美瑞,武汉,289,中型车,17.18-25.98,燃油车,13
宝马5系,广州,289,中大型车,43.99-52.59,燃油车,12
星愿,沧州,286,小型车,6.88-9.78,燃油车,6
速腾,保定,286,紧凑型车,12.79-17.29,燃油车,10
格瑞维亚,沈阳,286,MPV,29.98-41.68,燃油车,1
凯美瑞,南京,285,中型车,17.18-25.98,燃油车,13
小鹏MONA M03,舟山,11,紧凑型车,11.98-15.58,新能源,0
高尔夫,杭州,285,紧凑型车,12.99-16.58,燃油车,10
本田CR-V,保定,284,SUV,18.59-26.39,燃油车,2
熊猫,济南,284,微型车,2.99-5.39,燃油车,1
奥迪A6L,西安,283,中大型车,42.79-65.68,燃油车,12
星愿,驻马店,282,小型车,6.88-9.78,燃油车,6
哈弗枭龙MAX,保定,282,SUV,13.18-17.98,燃油车,13
凯美瑞,郑州,282,中型车,17.18-25.98,燃油车,13
长安UNI-Z新能源,周口,11,SUV,11.79-13.39,新能源,9
轩逸,广州,282,紧凑型车,10.86-17.49,燃油车,10
朗逸,重庆,282,紧凑型车,8.00-15.19,燃油车,10
途观L,长沙,282,SUV,18.68-26.68,燃油车,13
宝马5系,长沙,282,中大型车,43.99-52.59,燃油车,12
奥迪Q5L,武汉,281,SUV,34.98-48.88,燃油车,13
艾瑞泽8,广州,281,紧凑型车,9.99-14.89,燃油车,10
亚洲龙,北京,279,中型车,17.88-27.98,燃油车,4
长安UNI-Z新能源,中山,11,SUV,11.79-13.39,新能源,9
深蓝L07,中山,11,中型车,15.19-17.39,新能源,7
长安启源A07,深圳,279,中大型车,11.99-17.69,燃油车,12
迈腾,太原,279,中型车,17.49-24.69,燃油车,6
传祺M8,北京,278,MPV,17.98-34.28,燃油车,1
轩逸,赣州,278,紧凑型车,10.86-17.49,燃油车,10
朗逸,保定,277,紧凑型车,8.00-15.19,燃油车,10
乐道L60,广州,277,SUV,20.69-25.59,燃油车,10
途观L,重庆,277,SUV,18.68-26.68,燃油车,13
速腾,邢台,276,紧凑型车,12.79-17.29,燃油车,10
五菱宏光新能源,镇江,11,MPV,6.88-7.38,新能源,1
深蓝S05,镇江,11,SUV,11.99-14.99,新能源,9
朗逸,廊坊,276,紧凑型车,8.00-15.19,燃油车,10
锋兰达,佛山,276,SUV,12.58-18.48,燃油车,13
迈腾,哈尔滨,276,中型车,17.49-24.69,燃油车,6
凯美瑞,成都,276,中型车,17.18-25.98,燃油车,13
奔驰C级,长沙,276,中型车,33.48-38.06,燃油车,6
曹操60,上海,275,紧凑型车,11.98-16.98,燃油车,6
奥迪Q5L,杭州,275,SUV,34.98-48.88,燃油车,13
本田CR-V,北京,274,SUV,18.59-26.39,燃油车,2
海鸥,肇庆,11,小型车,6.98-8.58,新能源,9
锋兰达,温州,274,SUV,12.58-18.48,燃油车,13
RAV4荣放,天津,274,SUV,16.98-26.38,燃油车,13
星愿,昆明,274,小型车,6.88-9.78,燃油车,6
星愿,嘉兴,273,小型车,6.88-9.78,燃油车,6
理想L9,湛江,11,SUV,40.98-43.98,新能源,9
本田CR-V,东莞,273,SUV,18.59-26.39,燃油车,2
轩逸,乌鲁木齐,273,紧凑型车,10.86-17.49,燃油车,10
凯美瑞,天津,273,中型车,17.18-25.98,燃油车,13
速腾,太原,273,紧凑型车,12.79-17.29,燃油车,10
星越L,兰州,273,SUV,13.72-17.97,燃油车,13
唐L,漳州,11,SUV,22.98-28.98,新能源,9
五菱宏光V,昆明,273,MPV,4.31-5.45,燃油车,1
速腾,合肥,273,紧凑型车,12.79-17.29,燃油车,10
长安CS75 PLUS,苏州,272,SUV,11.39-14.99,燃油车,2
五菱缤果,济宁,272,小型车,5.68-8.88,燃油车,6
迈腾,西安,272,中型车,17.49-24.69,燃油车,6
星愿,周口,271,小型车,6.88-9.78,燃油车,6
朗逸,济宁,271,紧凑型车,8.00-15.19,燃油车,10
本田CR-V,唐山,270,SUV,18.59-26.39,燃油车,2
坦克500新能源,张掖,11,SUV,33.50-36.38,新能源,9
唐新能源,张掖,11,SUV,17.98-26.98,新能源,9
五菱缤果,临沂,270,小型车,5.68-8.88,燃油车,6
北京越野BJ40增程,张家口,11,SUV,17.98-29.98,新能源,9
宝马3系,金华,270,中型车,29.99-39.99,燃油车,6
星瑞,苏州,269,紧凑型车,9.97-14.57,燃油车,10
轩逸,苏州,268,紧凑型车,10.86-17.49,燃油车,10
卡罗拉,嘉兴,268,紧凑型车,11.68-15.58,燃油车,10
宋PLUS新能源,张家界,11,SUV,13.58-18.08,新能源,9
荣威D6,上海,268,紧凑型车,9.98-13.98,燃油车,6
凯美瑞,无锡,267,中型车,17.18-25.98,燃油车,13
五菱之光新能源,枣庄,11,MPV,4.78-5.08,新能源,1
五菱宏光新能源,枣庄,11,MPV,6.88-7.38,新能源,1
银河E5,温州,267,SUV,11.28-14.88,燃油车,13
途岳,宁波,267,SUV,12.59-21.66,燃油车,13
宋L EV,枣庄,11,SUV,18.98-24.98,新能源,9
奔驰GLC,武汉,267,SUV,42.78-53.13,燃油车,13
星愿,南京,267,小型车,6.88-9.78,燃油车,6
唐新能源,枣庄,11,SUV,17.98-26.98,新能源,9
星瑞,重庆,267,紧凑型车,9.97-14.57,燃油车,10
元UP,玉溪,11,SUV,9.68-11.98,新能源,9
雷克萨斯ES,无锡,266,中大型车,29.69-48.89,燃油车,12
奥迪A3,苏州,266,紧凑型车,16.59-25.13,燃油车,10
RAV4荣放,苏州,266,SUV,16.98-26.38,燃油车,2
AION UT,云浮,11,小型车,6.98-10.18,新能源,9
雅阁,长沙,266,中型车,17.98-23.88,燃油车,6
宏光MINIEV,云浮,11,微型车,3.28-9.99,新能源,9
奔驰E级,苏州,264,中大型车,44.72-59.98,燃油车,12
哈弗猛龙新能源,运城,11,SUV,16.58-19.28,新能源,9
小鹏G6,运城,11,SUV,17.68-27.69,新能源,9
宝马3系,南昌,264,中型车,29.99-39.99,燃油车,6
卡罗拉锐放,宁波,263,SUV,12.98-18.48,燃油车,13
大众ID.3,上海,263,紧凑型车,12.99-15.59,燃油车,6
帕萨特,重庆,263,中型车,16.45-23.99,燃油车,5
AION UT,玉林,11,小型车,6.98-10.18,新能源,9
驱逐舰05,天津,262,紧凑型车,7.98-13.68,燃油车,10
RAV4荣放,昆明,262,SUV,16.98-26.38,燃油车,13
凯美瑞,中山,261,中型车,17.18-25.98,燃油车,13
海狮05 DM-i,岳阳,11,SUV,10.28-14.28,新能源,9
海豹07 DM-i,岳阳,11,中型车,13.98-19.58,新能源,7
小鹏MONA M03,岳阳,11,紧凑型车,11.98-15.58,新能源,0
奔驰GLC,深圳,261,SUV,42.78-53.13,燃油车,13
问界M7,岳阳,11,SUV,24.98-32.98,新能源,9
速腾,沧州,261,紧凑型车,12.79-17.29,燃油车,10
途岳,太原,261,SUV,12.59-21.66,燃油车,13
艾瑞泽8,成都,261,紧凑型车,9.99-14.89,燃油车,10
卡罗拉,东莞,260,紧凑型车,11.68-15.58,燃油车,10
小鹏MONA M03,永州,11,紧凑型车,11.98-15.58,新能源,0
银河E5,海口,260,SUV,11.28-14.88,燃油车,13
锋兰达,长沙,260,SUV,12.58-18.48,燃油车,13
汉兰达,永州,11,SUV,24.98-34.88,新能源,9
亚洲龙,苏州,259,中型车,17.88-27.98,燃油车,4
亚洲龙,深圳,259,中型车,17.88-27.98,燃油车,4
智界R7,榆林,11,SUV,24.98-33.98,新能源,9
轩逸,深圳,259,紧凑型车,10.86-17.49,燃油车,10
奔驰C级,宁波,259,中型车,33.48-38.06,燃油车,6
星愿,聊城,259,小型车,6.88-9.78,燃油车,6
问界M7,榆林,11,SUV,24.98-32.98,新能源,9
奔驰C级,北京,258,中型车,33.48-38.06,燃油车,6
雅阁,中山,258,中型车,17.98-23.88,燃油车,6
轩逸,潍坊,258,紧凑型车,10.86-17.49,燃油车,10
星愿,德州,258,小型车,6.88-9.78,燃油车,6
海豹06GT,益阳,11,中型车,13.68-18.68,新能源,7
朗逸,昆明,258,紧凑型车,8.00-15.19,燃油车,10
速腾,济南,258,紧凑型车,12.79-17.29,燃油车,10
MG5,杭州,258,紧凑型车,6.79-9.99,燃油车,10
海豹06新能源,鹰潭,11,中型车,9.98-13.98,新能源,7
宋PLUS新能源,鹰潭,11,SUV,13.58-18.08,新能源,9
锋兰达,天津,257,SUV,12.58-18.48,燃油车,13
赛那SIENNA,太原,257,MPV,29.98-41.18,燃油车,1
唐L,营口,11,SUV,22.98-28.98,新能源,9
坦克300新能源,营口,11,SUV,24.98-26.98,新能源,9
奥迪A3,成都,257,紧凑型车,16.59-25.13,燃油车,10
坦克300新能源,伊犁,11,SUV,24.98-26.98,新能源,9
卡罗拉锐放,苏州,256,SUV,12.98-18.48,燃油车,2
RAV4荣放,武汉,256,SUV,16.98-26.38,燃油车,13
奥迪A4L,上海,256,中型车,28.98-40.08,燃油车,6
长安Lumin,济宁,255,微型车,3.79-6.59,燃油车,6
朗逸,武汉,255,紧凑型车,8.00-15.19,燃油车,10
途观L,天津,255,SUV,18.68-26.68,燃油车,13
本田CR-V,海口,255,SUV,18.59-26.39,燃油车,2
宝马5系,北京,255,中大型车,43.99-52.59,燃油车,12
宝马X5,上海,254,SUV,61.50-83.00,燃油车,6
星愿,福州,254,小型车,6.88-9.78,燃油车,6
汉兰达,宜春,11,SUV,24.98-34.88,新能源,9
朗逸,长沙,254,紧凑型车,8.00-15.19,燃油车,10
海狮05 DM-i,宜昌,11,SUV,10.28-14.28,新能源,9
迈腾,上海,253,中型车,17.49-24.69,燃油车,6
别克GL8新能源,宜昌,11,MPV,24.99-41.99,新能源,1
锋兰达,厦门,252,SUV,12.58-18.48,燃油车,13
威兰达,佛山,252,SUV,17.38-26.48,燃油车,13
星纪元 ET,宜昌,11,SUV,17.28-31.98,新能源,9
奔驰E级,上海,252,中大型车,44.72-59.98,燃油车,6
理想L9,宜昌,11,SUV,40.98-43.98,新能源,9
星瑞,武汉,251,紧凑型车,9.97-14.57,燃油车,10
亚洲龙,天津,251,中型车,17.88-27.98,燃油车,4
雷克萨斯ES,长沙,251,中大型车,29.69-48.89,燃油车,12
AION UT,宜宾,11,小型车,6.98-10.18,新能源,9
领克900,北京,251,SUV,30.99-41.69,燃油车,13
极狐 阿尔法S5,北京,251,中型车,12.78-18.48,燃油车,6
奔驰GLC,广州,250,SUV,42.78-53.13,燃油车,10
思域,广州,249,紧凑型车,12.99-18.79,燃油车,10
零跑C11,宜宾,11,SUV,14.88-20.98,新能源,9
星越L,长沙,249,SUV,13.72-17.97,燃油车,13
红旗E-QM5,北京,249,中型车,12.18-23.98,燃油车,6
小鹏P7+,烟台,11,中大型车,18.68-20.88,新能源,11
魏牌 高山,北京,248,MPV,30.98-40.58,燃油车,1
哈弗猛龙新能源,烟台,11,SUV,16.58-19.28,新能源,9
雅阁,郑州,247,中型车,17.98-23.88,燃油车,6
锋兰达,乌鲁木齐,247,SUV,12.58-18.48,燃油车,13
长安CS75 PLUS,乌鲁木齐,247,SUV,11.39-14.99,燃油车,2
小鹏G9,烟台,11,SUV,24.88-35.99,新能源,9
AION V,烟台,11,SUV,12.98-19.36,新能源,9
途观L,济南,247,SUV,18.68-26.68,燃油车,13
汉L,扬州,11,中大型车,20.98-27.98,新能源,11
阿维塔07,扬州,11,SUV,21.99-28.99,新能源,9
吉利几何A,深圳,246,紧凑型车,14.38-20.78,燃油车,10
理想L8,扬州,11,SUV,32.18-37.98,新能源,9
零跑T03,扬州,11,微型车,4.99-6.99,新能源,9
星越L,广州,246,SUV,13.72-17.97,燃油车,10
红旗HS5,成都,246,SUV,18.38-24.98,燃油车,13
奔驰GLC,苏州,244,SUV,42.78-53.13,燃油车,2
速腾,沈阳,244,紧凑型车,12.79-17.29,燃油车,10
海豹05 DM-i,阳泉,11,紧凑型车,7.98-10.38,新能源,0
帕萨特,昆明,244,中型车,16.45-23.99,燃油车,5
锋兰达,中山,243,SUV,12.58-18.48,燃油车,13
迈腾,临沂,243,中型车,17.49-24.69,燃油车,6
帕萨特,济宁,243,中型车,16.45-23.99,燃油车,5
朗逸,聊城,242,紧凑型车,8.00-15.19,燃油车,10
汉兰达,阳江,11,SUV,24.98-34.88,新能源,9
熊猫,三门峡,241,微型车,2.99-5.39,燃油车,1
RAV4荣放,大连,241,SUV,16.98-26.38,燃油车,13
奥迪Q5L,西安,241,SUV,34.98-48.88,燃油车,13
海狮07 EV,盐城,11,SUV,18.98-23.98,新能源,9
北京EU5,武汉,241,紧凑型车,12.99-17.19,燃油车,10
星愿,太原,241,小型车,6.88-9.78,燃油车,6
日产N7,广州,241,中大型车,11.99-14.99,燃油车,10
MG5,成都,241,紧凑型车,6.79-9.99,燃油车,10
奔驰C级,深圳,240,中型车,33.48-38.06,燃油车,6
轩逸,济宁,240,紧凑型车,10.86-17.49,燃油车,10
荣威D7,上海,240,中型车,12.38-21.98,燃油车,6
皓影,北京,240,SUV,18.59-26.39,燃油车,2
星愿,柳州,239,小型车,6.88-9.78,燃油车,6
奥迪A6L,大连,239,中大型车,42.79-65.68,燃油车,12
宝马5系,武汉,239,中大型车,43.99-52.59,燃油车,12
哈弗猛龙新能源,延安,11,SUV,16.58-19.28,新能源,9
星愿,海口,239,小型车,6.88-9.78,燃油车,6
乐道L60,北京,239,SUV,20.69-25.59,燃油车,13
宝马3系,南通,238,中型车,29.99-39.99,燃油车,6
理想L8,延安,11,SUV,32.18-37.98,新能源,9
迈腾,滨州,238,中型车,17.49-24.69,燃油车,6
星愿,保定,238,小型车,6.88-9.78,燃油车,6
红旗E-QM5,武汉,238,中型车,12.18-23.98,燃油车,6
秦L,雅安,11,中型车,9.98-15.38,新能源,7
海豚,雅安,11,小型车,9.98-12.98,新能源,9
昂科威Plus,北京,238,SUV,22.99-25.99,燃油车,13
途观L,兰州,237,SUV,18.68-26.68,燃油车,13
海豹07 DM-i,徐州,11,中型车,13.98-19.58,新能源,7
途观L,青岛,236,SUV,18.68-26.68,燃油车,13
享界S9,徐州,11,中大型车,30.98-44.98,新能源,11
奥迪A6L,上海,236,中大型车,42.79-65.68,燃油车,12
阿维塔07,徐州,11,SUV,21.99-28.99,新能源,9
卡罗拉,北京,236,紧凑型车,11.68-15.58,燃油车,10
朗逸,温州,235,紧凑型车,8.00-15.19,燃油车,10
五菱之光新能源,许昌,11,MPV,4.78-5.08,新能源,1
零跑B10,许昌,11,SUV,9.98-14.98,新能源,9
小鹏MONA M03,许昌,11,紧凑型车,11.98-15.58,新能源,0
星愿,佛山,235,小型车,6.88-9.78,燃油车,6
哈弗猛龙新能源,许昌,11,SUV,16.58-19.28,新能源,9
理想L7,许昌,11,SUV,30.18-35.98,新能源,9
荣威i5,郑州,235,紧凑型车,6.89-9.09,燃油车,10
奥迪Q5L,沈阳,235,SUV,34.98-48.88,燃油车,13
星纪元 ES,宣城,11,中大型车,15.28-29.99,新能源,11
奔驰GLC,南京,235,SUV,42.78-53.13,燃油车,13
格瑞维亚,哈尔滨,235,MPV,29.98-41.68,燃油车,1
艾瑞泽8,苏州,234,紧凑型车,9.99-14.89,燃油车,10
钛3,北京,234,SUV,13.38-19.38,燃油车,13
宝马5系,金华,233,中大型车,43.99-52.59,燃油车,12
宝马3系,嘉兴,233,中型车,29.99-39.99,燃油车,6
海豹05 DM-i,忻州,11,紧凑型车,7.98-10.38,新能源,0
元PLUS,忻州,11,SUV,11.58-14.78,新能源,9
途岳,苏州,232,SUV,12.59-21.66,燃油车,2
别克GL8新能源,新余,11,MPV,24.99-41.99,新能源,1
零跑C16,新余,11,SUV,15.18-18.98,新能源,9
星愿,滨州,232,小型车,6.88-9.78,燃油车,6
秦PLUS,新余,11,紧凑型车,7.98-17.98,新能源,0
奥迪A4L,杭州,232,中型车,28.98-40.08,燃油车,6
汉兰达,新余,11,SUV,24.98-34.88,新能源,9
豹5,广州,232,SUV,23.98-32.98,燃油车,10
红旗HS3 PHEV,信阳,11,SUV,15.98-15.98,新能源,9
海豹06GT,信阳,11,中型车,13.68-18.68,新能源,7
朗逸,滨州,231,紧凑型车,8.00-15.19,燃油车,10
银河星舰7 EM-i,西安,231,SUV,10.38-13.68,燃油车,13
腾势D9,信阳,11,MPV,33.98-66.00,新能源,1
雅阁,南京,231,中型车,17.98-23.88,燃油车,6
速腾,贵阳,231,紧凑型车,12.79-17.29,燃油车,10
宝马3系,重庆,231,中型车,29.99-39.99,燃油车,6
博越L,成都,231,SUV,9.99-14.97,燃油车,13
五菱宏光新能源,新乡,11,MPV,6.88-7.38,新能源,1
智界R7,新乡,11,SUV,24.98-33.98,新能源,9
红旗H5 PHEV,新乡,11,中型车,18.58-19.98,新能源,7
宝马X5,成都,231,SUV,61.50-83.00,燃油车,13
宝马3系,无锡,230,中型车,29.99-39.99,燃油车,6
帕萨特,青岛,230,中型车,16.45-23.99,燃油车,5
领克900,成都,230,SUV,30.99-41.69,燃油车,13
星愿,烟台,229,小型车,6.88-9.78,燃油车,6
威兰达,宁波,229,SUV,17.38-26.48,燃油车,13
RAV4荣放,宁波,229,SUV,16.98-26.38,燃油车,13
帕萨特,宁波,229,中型车,16.45-23.99,燃油车,5
红旗H5,东莞,229,中型车,15.98-22.58,燃油车,6
凯美瑞,西安,229,中型车,17.18-25.98,燃油车,13
银河E5,杭州,229,SUV,11.28-14.88,燃油车,13
MG5,广州,229,紧凑型车,6.79-9.99,燃油车,10
卡罗拉,深圳,228,紧凑型车,11.68-15.58,燃油车,10
奔驰C级,武汉,228,中型车,33.48-38.06,燃油车,6
荣威iMAX8新能源,邢台,11,MPV,19.99-35.98,新能源,1
智己L6,上海,228,中大型车,21.99-34.59,燃油车,6
奔驰E级,杭州,228,中大型车,44.72-59.98,燃油车,12
红旗HS5,北京,228,SUV,18.38-24.98,燃油车,13
皓影,佛山,227,SUV,18.59-26.39,燃油车,2
探岳,大连,227,SUV,19.89-25.99,燃油车,13
探岳,武汉,227,SUV,19.89-25.99,燃油车,13
firefly萤火虫,合肥,227,小型车,11.98-12.58,燃油车,6
汉,兴安盟,11,中大型车,16.58-25.98,新能源,11
朗逸,杭州,227,紧凑型车,8.00-15.19,燃油车,10
艾瑞泽8,重庆,227,紧凑型车,9.99-14.89,燃油车,10
奔驰E级,深圳,226,中大型车,44.72-59.98,燃油车,12
雷克萨斯ES,南京,226,中大型车,29.69-48.89,燃油车,12
红旗H5,合肥,226,中型车,15.98-22.58,燃油车,6
星愿,长沙,226,小型车,6.88-9.78,燃油车,6
探岳,长春,226,SUV,19.89-25.99,燃油车,13
AION RT,咸阳,11,紧凑型车,11.98-16.58,新能源,0
深蓝L07,咸阳,11,中型车,15.19-17.39,新能源,7
朗逸,潍坊,225,紧凑型车,8.00-15.19,燃油车,10
问界M7,咸阳,11,SUV,24.98-32.98,新能源,9
卡罗拉锐放,台州,225,SUV,12.98-18.48,燃油车,13
乐道L60,南京,225,SUV,20.69-25.59,燃油车,13
轩逸,北京,225,紧凑型车,10.86-17.49,燃油车,10
轩逸,泉州,224,紧凑型车,10.86-17.49,燃油车,10
长安CS75 PLUS,哈尔滨,224,SUV,11.39-14.99,燃油车,2
银河星舰7 EM-i,郑州,223,SUV,10.38-13.68,燃油车,13
星越L,南京,223,SUV,13.72-17.97,燃油车,13
奔驰E级,广州,223,中大型车,44.72-59.98,燃油车,10
小鹏G9,襄阳,11,SUV,24.88-35.99,新能源,9
零跑T03,襄阳,11,微型车,4.99-6.99,新能源,9
RAV4荣放,长沙,223,SUV,16.98-26.38,燃油车,13
速腾,武汉,222,紧凑型车,12.79-17.29,燃油车,10
领克900,杭州,222,SUV,30.99-41.69,燃油车,13
星越L,哈尔滨,222,SUV,13.72-17.97,燃油车,13
帝豪,哈尔滨,222,紧凑型车,6.29-14.98,燃油车,10
帕萨特,贵阳,222,中型车,16.45-23.99,燃油车,5
探岳,重庆,222,SUV,19.89-25.99,燃油车,13
哈弗H6,重庆,222,SUV,9.89-14.69,燃油车,13
本田CR-V,潍坊,221,SUV,18.59-26.39,燃油车,2
五菱缤果PLUS,柳州,221,SUV,7.58-9.88,燃油车,13
五菱缤果,菏泽,221,小型车,5.68-8.88,燃油车,6
小鹏P7+,湘潭,11,中大型车,18.68-20.88,新能源,11
卡罗拉锐放,沈阳,221,SUV,12.98-18.48,燃油车,13
汉,湘潭,11,中大型车,16.58-25.98,新能源,11
奥迪A3,上海,221,紧凑型车,16.59-25.13,燃油车,6
宝马3系,济南,221,中型车,29.99-39.99,燃油车,6
奔驰GLC,重庆,221,SUV,42.78-53.13,燃油车,13
昂科威Plus,青岛,220,SUV,22.99-25.99,燃油车,13
凯迪拉克XT5,上海,220,SUV,35.27-45.99,燃油车,6
宝马X1,上海,220,SUV,28.89-34.99,燃油车,6
理想MEGA,厦门,11,MPV,52.98-55.98,新能源,1
宝马3系,昆明,220,中型车,29.99-39.99,燃油车,6
轩逸,哈尔滨,220,紧凑型车,10.86-17.49,燃油车,10
凯美瑞,青岛,219,中型车,17.18-25.98,燃油车,13
沃尔沃XC60,武汉,219,SUV,39.69-47.49,燃油车,13
奥迪Q5L,合肥,219,SUV,34.98-48.88,燃油车,13
奔驰C级,东莞,218,中型车,33.48-38.06,燃油车,6
海狮05 EV,梧州,11,SUV,11.78-13.78,新能源,9
AION UT,梧州,11,小型车,6.98-10.18,新能源,9
卡罗拉锐放,天津,218,SUV,12.98-18.48,燃油车,13
亚洲龙,成都,218,中型车,17.88-27.98,燃油车,4
长安UNI-Z新能源,吴忠,11,SUV,11.79-13.39,新能源,9
星愿,厦门,217,小型车,6.88-9.78,燃油车,6
秦L,吴忠,11,中型车,9.98-15.38,新能源,7
长安Lumin,重庆,217,微型车,3.79-6.59,燃油车,6
探岳,石家庄,216,SUV,19.89-25.99,燃油车,13
赛那SIENNA,哈尔滨,216,MPV,29.98-41.18,燃油车,1
朗逸,洛阳,215,紧凑型车,8.00-15.19,燃油车,10
奔驰E级,南京,215,中大型车,44.72-59.98,燃油车,12
银河星舰7 EM-i,成都,215,SUV,10.38-13.68,燃油车,13
坦克500新能源,无锡,11,SUV,33.50-36.38,新能源,9
宝马5系,郑州,214,中大型车,43.99-52.59,燃油车,12
君越,上海,214,中型车,17.99-23.99,燃油车,6
途观L,福州,214,SUV,18.68-26.68,燃油车,13
豹5,成都,214,SUV,23.98-32.98,燃油车,13
轩逸,成都,214,紧凑型车,10.86-17.49,燃油车,10
雷克萨斯ES,中山,213,中大型车,29.69-48.89,燃油车,12
五菱缤果,台州,213,小型车,5.68-8.88,燃油车,5
迈腾,济宁,213,中型车,17.49-24.69,燃油车,6
RAV4荣放,太原,213,SUV,16.98-26.38,燃油车,13
亚洲龙,沈阳,213,中型车,17.88-27.98,燃油车,4
英仕派,广州,213,中型车,18.28-22.98,燃油车,6
坦克300,成都,213,SUV,19.98-33.00,燃油车,13
雅阁,苏州,212,中型车,17.98-23.88,燃油车,6
宋L DM-i,乌兰察布,11,SUV,13.58-17.58,新能源,9
星愿,焦作,212,小型车,6.88-9.78,燃油车,6
